Piece,Part,Quantity,Supplier,Reference
Lower Pi case,Head,1,Polygonal Tree/Custom made,https://github.com/gilestrolab/ethoscope_hardware/tree/master/core/upper_pi_case
Upper Pi case,Head,1,Polygonal Tree/Custom made,https://github.com/gilestrolab/ethoscope_hardware/tree/master/core/lower_pi_case
Raspberry Pi v2,Head,1,CPC,
PiNoir camera,Head,1,RS,RS 790-2811
32Gb SD card,Head,1,amazon,32G Samsung EVO SD card
M3 12mm bolt,Head,6,RS,RS 232-8372
M3 nuts,Head,4,RS,RS 560-293
M2 nuts (nylon),Head,2,RS,RS 528-126
M2 6mm bolts,Head,2,RS,RS 482-7685
Wifi dongle,Head,1,Edimax,Edimax EW-7811UN
Light box,Base,1,Polygonal Tree/Custom made,https://github.com/gilestrolab/ethoscope_hardware/tree/master/core/light_box
Light support,Base,1,Polygonal Tree/Custom made,https://github.com/gilestrolab/ethoscope_hardware/tree/master/core/side_wall
Male 2x6 IDC socket ,Base,1,RS,RS 832-3496
12V IR LED strip,Base,3LED,Lightworld,http://www.ledlightsworld.com/infrared-led-strips-c-1_79.html
5cm cable,Base,2,RS,
Side wall,Side Wall,2,Polygonal Tree/Custom made,https://github.com/gilestrolab/ethoscope_hardware/tree/master/core/side_wall
Ribbon cable (6 way; 21cm),GPIO connector,1,RS,RS 693-7699
Female 2x6 IDC socket ,GPIO connector,1,RS,RS 832-3648
Female 2x40 IDC socket,GPIO connector,1,RS,RS 625-7303
USB A to micro cable,Power supply,1,RS,RS 888-8811
Anker 40w PSU,Power supply,1,Amazon,
