Piece,Part,Quantity,Supplier,Reference, Price
USB A to micro cable,Power supply,1,RS,RS 888-8811,
Anker 40w PSU,Power supply,1,Amazon,?,£12
Base,Base,1,3d printed,?,low
Lynx Motion SSC-32 Servo Controller,servo controller,1,robotshop,http://robotshop.com/en/lynxmotion-ssc-32-servo-controller.html,£25.00
USB A to mini cable (30cm),Serial mini USB connector,1,amazon,http://www.amazon.com/30CM-male-plug-leads-Cable/dp/B00MMVLH9I,low
9G micro servo,Servo,10,robotshop,?,?
2x6mm screw,Pulley screw,10,Amazon,http://www.amazon.co.uk/Tapping-Thread-Round-Phillips-Screw/dp/B00GMQDSRI?ie=UTF8&ref_=pe_1909131_77697121_tnp_email_TE_AMZLdp_1,low
Pulley,Pulley,10,3d printed,?,low
22mm x1.5mm cs nitrile black o-ring,O-ring,10,polymax.co.uk,https://www.polymax.co.uk/o-ring-22mm-id-x-1-5mm-cs-nitrile-black-70-sha,low
2x10mm screw,Servo screw,20,Amazon,http://www.amazon.co.uk/dp/B00MFBTWMO/ref=pe_385721_37986871_TE_item,low
